id,network,name,state,lat,lon,elevation_m,in_range,km_outside,n_seasons
EQY,NC_ASOS,MONROE_AIRPORT_(ASOS),NC,35.0169,-80.6206,207.0,False,31.8,26
EWN,NC_ASOS,NEW_BERN/CRAVEN_CO_(ASOS),NC,35.0675,-77.0472,6.0,True,0.0,26
EXX,NC_ASOS,LEXINGTON_DAVIDSON_COUNTY_AIRP,NC,35.7811,-80.3038,223.0,False,48.8,24
EYF,NC_ASOS,ELIZABETHTOWN/CURTIS_BROWN_FIELD,NC,34.6,-78.58,40.0,True,0.0,23
FAY,NC_ASOS,Fayetteville,NC,34.9912,-78.8803,56.0,True,0.0,25
FBG,NC_ASOS,FORT_BRAGG/SIMMONS,NC,35.1318,-78.9367,74.0,True,0.0,21
FFA,NC_ASOS,KILL_DEVIL_HILLS,NC,36.02,-75.67,4.0,False,23.5,20
GSO,NC_ASOS,GREENSBORO/PIEDMONT_(ASOS),NC,36.0975,-79.9436,270.0,False,75.6,26
GWW,NC_ASOS,GOLDSBORO-WAYNE_MUNI_ARPT,NC,35.4606,-77.9649,41.0,True,0.0,23
HBI,NC_ASOS,ASHEBORO_MUNI_ARPT,NC,35.6545,-79.8948,205.0,False,28.5,24
HFF,NC_ASOS,MACKALL_AAF,NC,35.0367,-79.4974,115.0,True,0.0,19
HNZ,NC_ASOS,HENDERSON-OXFORD_ARPT,NC,36.36,-78.53,161.0,False,60.3,18
HRJ,NC_ASOS,ERWIN/HARNETT_COUNTY_ARPT,NC,35.3786,-78.7336,60.0,True,0.0,25
HSE,NC_ASOS,HATTERAS_(ASOS),NC,35.2322,-75.6225,3.0,False,55.6,24
ILM,NC_ASOS,Wilmington Intl,NC,34.27,-77.9,10.0,True,0.0,26
IPJ,NC_ASOS,LINCOLNTON,NC,35.4833,-81.1612,267.0,False,95.1,23
ISO,NC_ASOS,KINSTON/STALLINGS,NC,35.33,-77.61,29.0,True,0.0,25
IXA,NC_ASOS,Roanoke Rapids,NC,36.3298,-77.6352,44.0,True,0.0,17
JNX,NC_ASOS,SMITHFIELD,NC,35.5409,-78.3903,50.0,True,0.0,24
JQF,NC_ASOS,CONCORD,NC,35.3878,-80.7091,210.0,False,52.8,22
LBT,NC_ASOS,Lumberton,NC,34.61,-79.06,38.0,True,0.0,25
LHZ,NC_ASOS,LOUISBURG/FRANKLIN_CNTY_ARPT,NC,36.0233,-78.3303,113.0,False,29.3,23
MEB,NC_ASOS,LAURINBURG-MAXTON_ARPT_(ASOS),NC,34.7919,-79.3658,67.0,True,0.0,26
MQI,NC_ASOS,MANTEO/DARE_CO_RGNL,NC,35.919,-75.6955,4.0,False,13.7,26
MRH,NC_ASOS,SMITH_FIELD/BEAUFORT_(ASOS),NC,34.7336,-76.6606,3.0,False,0.1,26
NCA,NC_ASOS,NEW_RIVER_MCAS,NC,34.7084,-77.4397,8.0,True,0.0,25
NKT,NC_ASOS,CHERRY_POINT_MCAS,NC,34.9,-76.88,9.0,True,0.0,26
OAJ,NC_ASOS,JACKSONVILLE_(AWOS),NC,34.8292,-77.6121,29.0,True,0.0,25
OCW,NC_ASOS,Washington/Warren,NC,35.57,-77.05,12.0,True,0.0,24
ONX,NC_ASOS,Currituck,NC,36.3999,-76.0154,5.5,False,30.0,20
PGV,NC_ASOS,PITT-GREENVILLE_APRT,NC,35.6352,-77.3853,8.0,True,0.0,25
POB,NC_ASOS,POPE_AFB,NC,35.1709,-79.0145,66.0,True,0.0,23
RCZ,NC_ASOS,ROCKINGHAM,NC,34.89,-79.76,109.0,True,0.0,18
RDU,NC_ASOS,Raleigh / Durham,NC,35.8922,-78.7819,117.95659,False,16.0,26
RUQ,NC_ASOS,ROWAN_COUNTY_AIRPORT,NC,35.6459,-80.5203,236.0,False,48.9,23
RWI,NC_ASOS,ROCKY_MOUNT-WILSON_(ASOS),NC,35.8562,-77.8919,48.0,True,0.0,24
SOP,NC_ASOS,SOUTHERN_PINES_AWOS,NC,35.2372,-79.3911,141.0,True,0.0,20
SUT,NC_ASOS,SOUTHPORT/BRUNSWICK,NC,33.9292,-78.0747,8.0,True,0.0,21
SVH,NC_ASOS,STATESVILLE,NC,35.765,-80.9539,294.0,False,88.7,23
TDF,NC_ASOS,ROXBORO,NC,36.2849,-78.9842,186.0,False,61.2,23
TTA,NC_ASOS,Sanford - Lee County,NC,35.5764,-79.1034,73.0,False,4.8,21
VUJ,NC_ASOS,ALBEMARLE,NC,35.4167,-80.1508,186.0,False,7.1,21
AIK,SC_ASOS,Aiken,SC,33.6494,-81.685,160.9,True,0.0,17
AND,SC_ASOS,ANDERSON CO AIRPORT,SC,34.4946,-82.7094,238.0,False,69.4,26
BNL,SC_ASOS,Barnwell,SC,33.2578,-81.3883,75.0,True,0.0,15
CAE,SC_ASOS,COLUMBIA METRO,SC,33.9419,-81.1181,69.0,True,0.0,26
CDN,SC_ASOS,Camden,SC,34.2836,-80.5649,92.0,True,0.0,16
CEU,SC_ASOS,CLEMSON/OCONEE COUNTY,SC,34.6719,-82.8868,272.0,False,94.7,26
CHS,SC_ASOS,Charleston,SC,32.8986,-80.0405,10.024509,True,0.0,26
CKI,SC_ASOS,Kingstree,SC,33.7172,-79.857,20.4,True,0.0,15
CQW,SC_ASOS,Cheraw,SC,34.7129,-79.957,72.8,True,0.0,15
CRE,SC_ASOS,NORTH MYRTLE BEACH,SC,33.8118,-78.7239,10.0,True,0.0,26
CUB,SC_ASOS,COLUMBIA OWENS DOWNTOWN AIRPORT,SC,33.972,-80.9938,59.0,True,0.0,26
DCM,SC_ASOS,Chester,SC,34.7893,-81.1958,199.9,False,51.3,17
EOE,SC_ASOS,Newberry,SC,34.3093,-81.6397,173.1,False,15.0,15
FLO,SC_ASOS,FLORENCE REGIONAL,SC,34.1854,-79.7239,45.0,True,0.0,25
GGE,SC_ASOS,Georgetown,SC,33.3117,-79.3196,11.9,True,0.0,17
